validation_fold,well,split,cut_idx,selected_method,selected_reason,router_rmse,baseline_rmse,delta_rmse_vs_baseline,eval_rows
0,9719aa04,native_prefix,1794,last_value,fallback_last_value,7.07656345543121,7.07656345543121,0.0,4871
0,9719aa04,frac_0.50,3332,last_value,fallback_last_value,8.338414955277607,8.338414955277607,0.0,3333
0,974802e7,native_prefix,1694,last_value,fallback_last_value,13.80511563998303,13.80511563998303,0.0,5843
0,974802e7,frac_0.50,3768,last_value,fallback_last_value,20.442441271059803,20.442441271059803,0.0,3769
0,99529c45,native_prefix,1751,last_value,fallback_last_value,21.675545088419643,21.675545088419643,0.0,5840
0,99529c45,frac_0.50,3796,last_value,fallback_last_value,6.905987345204308,6.905987345204308,0.0,3795
0,9a6b0392,native_prefix,1547,last_value,fallback_last_value,6.974051133501153,6.974051133501153,0.0,4255
0,9a6b0392,frac_0.50,2901,last_value,fallback_last_value,9.461975630570054,9.461975630570054,0.0,2901
0,9ab94eeb,native_prefix,1930,last_value,fallback_last_value,8.205724523051869,8.205724523051869,0.0,4442
0,9ab94eeb,frac_0.50,3186,last_value,fallback_last_value,14.713335929506648,14.713335929506648,0.0,3186
0,9c211c53,native_prefix,1577,last_value,fallback_last_value,6.466506541772609,6.466506541772609,0.0,7265
0,9c211c53,frac_0.50,4421,last_value,fallback_last_value,11.207421835872683,11.207421835872683,0.0,4421
0,9d072e4c,native_prefix,1691,last_value,fallback_last_value,9.990804668905984,9.990804668905984,0.0,5107
0,9d072e4c,frac_0.50,3399,last_value,fallback_last_value,9.525065284145658,9.525065284145658,0.0,3399
0,a3f71395,native_prefix,1497,last_value,fallback_last_value,15.089395383508826,15.089395383508826,0.0,5543
0,a3f71395,frac_0.50,3520,last_value,fallback_last_value,16.442764340210914,16.442764340210914,0.0,3520
0,a4cdbb0f,native_prefix,1555,last_value,fallback_last_value,11.150021440885437,11.150021440885437,0.0,5204
0,a4cdbb0f,frac_0.50,3380,last_value,fallback_last_value,23.135412584355322,23.135412584355322,0.0,3379
0,a645da9a,native_prefix,1613,last_value,fallback_last_value,8.951092580974047,8.951092580974047,0.0,5153
0,a645da9a,frac_0.50,3383,last_value,fallback_last_value,16.868136959578823,16.868136959578823,0.0,3383
0,a692b17e,native_prefix,1843,last_value,fallback_last_value,13.138061444708827,13.138061444708827,0.0,3566
0,a692b17e,frac_0.50,2704,last_value,fallback_last_value,13.526367855294797,13.526367855294797,0.0,2705
0,a7744f5b,native_prefix,1640,last_value,fallback_last_value,13.084948643934053,13.084948643934053,0.0,4377
0,a7744f5b,frac_0.50,3008,last_value,fallback_last_value,13.845378428264883,13.845378428264883,0.0,3009
0,a8ed028a,native_prefix,1772,last_value,fallback_last_value,19.044521110452333,19.044521110452333,0.0,5538
0,a8ed028a,frac_0.50,3655,last_value,fallback_last_value,6.73186066525675,6.73186066525675,0.0,3655
0,aaeffccb,native_prefix,1874,last_value,fallback_last_value,4.756126793123975,4.756126793123975,0.0,2712
